true,pred,prob
0,0,0.003161679682775878
0,0,0.02288871474515728
1,1,0.9338835325837135
0,0,0.0039738511340744005
0,0,0.001977787824603741
0,0,0.004033418313164597
1,1,0.8823038660453205
0,0,0.015655372897662913
0,0,0.006223968803919322
0,0,0.16813812268014733
0,0,0.009740782185089312
0,0,0.002647348392971491
0,0,0.009944803088730456
0,0,0.0180351433646084
0,0,0.0035157432499244596
1,1,0.9886887162923813
0,0,0.016475172131557705
1,0,0.017232310225705837
0,0,0.014605892928861691
1,1,0.955890080332756
0,0,0.15142909285595102
1,0,0.014171580047303945
0,0,0.006202347787610498
0,0,0.07662100067033913
0,0,0.007553940386682348
0,0,0.007304162886443276
0,0,0.03997429101429763
0,0,0.008999910319109248
0,0,0.014603503210628085
0,0,0.12983678692272532
0,0,0.008670853275183221
0,0,0.0057740578132178914
0,0,0.019335259900361407
0,0,0.008448629860759648
0,0,0.003152205571299376
0,0,0.00969742787872488
0,0,0.006554888614004888
0,0,0.03617990401131693
0,0,0.004905748297101492
0,0,0.10555895260889087
0,0,0.0019363674792958595
0,0,0.0026237648539562883
0,0,0.005949888868006266
0,0,0.018725443664100727
0,0,0.004259009877154858
1,1,0.9971156656742096
1,1,0.9124558094143868
1,1,0.9742340236902237
1,0,0.0983032255482882
1,0,0.006602777362325446
0,0,0.00529195603793476
0,0,0.03203528434503823
1,1,0.9898440182209015
0,0,0.009559151579265072
1,1,0.9961817353963852
0,0,0.0044709407022712686
0,0,0.014080341135111165
0,0,0.004279033566242208
1,1,0.937296833393886
1,1,0.9839848965406418
0,1,0.4611302378388134
0,0,0.005442153689021936
0,0,0.006777496860983929
0,0,0.008925566824001304
1,1,0.9276346355676651
0,0,0.011395630976450053
0,0,0.16853650319527672
0,0,0.00679485297980636
0,0,0.0036768211700770833
1,1,0.9969913899898529
0,0,0.009596277473331746
0,0,0.06112349156248305
0,0,0.002915255390037213
1,1,0.9967136919498444
0,0,0.007207981419824401
0,0,0.035184430616818356
0,0,0.030605394506513492
0,0,0.11720204905972427
1,1,0.9900775790214539
0,0,0.0021541906403988345
0,0,0.013878039178476697
1,1,0.9934313386678696
0,0,0.03342943521586366
0,0,0.0046785163299414125
0,0,0.012983333594274338
0,0,0.015818646069331
0,0,0.0034103227929539468
0,0,0.09698233118434096
1,1,0.9870005190372467
1,1,0.4118429758771954
0,0,0.0036372634267890585
1,1,0.9744359791278839
0,0,0.0028963487435449582
0,0,0.011152463029670462
0,0,0.006484188842412078
0,0,0.007633527408264291
0,0,0.004150476461936987
0,0,0.015981341540723806
0,0,0.025162355776031035
0,0,0.004522159638356208
1,1,0.9527038648724556
0,0,0.003911598394049495
0,0,0.02423854554675601
0,0,0.035959067597560124
0,0,0.0021444078344417437
0,0,0.002143881376926334
0,0,0.006178888805532204
0,0,0.05960381336264874
0,0,0.0022959998912564067
0,0,0.06354482884438419
0,0,0.0021283851270019805
0,0,0.024769282256010463
0,0,0.005044581447484091
0,0,0.010523386984242742
0,0,0.011355767186389712
0,0,0.005110345888195051
0,1,0.25253713607506667
0,0,0.001912984044423219
0,0,0.016148787094638448
0,0,0.012090021071571241
0,0,0.14674593451300524
0,0,0.0037725750407146263
0,0,0.11318521262427633
0,0,0.01456777426768531
0,0,0.008792836771760206
0,0,0.012812089784087983
0,0,0.0040494933248867
0,0,0.02500988478915679
1,0,0.003133387777496168
1,1,0.9954030007123947
1,1,0.7197980225086196
0,0,0.05016274197249197
0,0,0.0033784981854688644
0,0,0.011989232160891252
0,0,0.004521735734983966
0,0,0.00615892936080097
0,0,0.027071888147060297
0,0,0.07437536332537177
0,0,0.005718222406610072
1,1,0.995679372549057
0,0,0.13086351183560094
0,0,0.02377401739109466
0,0,0.11727105194500898
0,0,0.003212482726610995
0,0,0.06287437278179471
0,0,0.10963710150872076
0,0,0.01719807954583351
0,0,0.017714309578873665
1,1,0.9585384741425514
0,0,0.030956440388634807
0,0,0.025355875913276187
0,0,0.006035543562840769
0,0,0.0036705231877732255
1,1,0.9246579125523567
0,0,0.026999455455752937
1,1,0.26674780194848713
0,0,0.005810948567182261
0,0,0.11412426279391004
0,0,0.07399452617585542
0,0,0.011657472887310522
0,0,0.06934679056663987
0,0,0.004124155038433812
0,0,0.008875868391732553
0,0,0.009279467182484999
0,0,0.013050803447070745
0,0,0.009220228423754652
0,0,0.029463422825252206
0,0,0.006542897275790089
0,0,0.033660817186033705
0,0,0.08925706998751208
0,0,0.03584260792327008
0,0,0.054014411301454006
0,0,0.12833013598973192
1,0,0.020828616100292248
0,0,0.004777313791016321
0,0,0.006536262018898028
1,1,0.9969491451978684
0,0,0.2313539419218763
0,0,0.00824560888900034
0,0,0.006517072813497217
1,1,0.9204279834032059
0,0,0.004512514577500914
0,0,0.018577284629184582
1,1,0.5618236671152939
0,0,0.1003274252873611
0,0,0.004688840330272172
1,1,0.9946977734565735
1,1,0.9971892178058624
0,0,0.0024276977607350157
0,0,0.0037284395205322363
0,0,0.037247703835137085
0,0,0.002840667873146467
1,1,0.9938238799571991
0,0,0.0035689801500340753
1,1,0.9500032508373261
0,0,0.00886676397002649
0,0,0.009726598842338034
0,0,0.002600563422442792
0,0,0.023112007314082094
0,0,0.005904600414167875
0,0,0.1799901114857081
0,0,0.004198507037123973
0,0,0.15060593283674822
1,1,0.9866571366786957
1,1,0.9340875887870789
0,0,0.005750422167650899
0,0,0.00709171495111384
0,0,0.029170709204266218
0,0,0.013815079858271082
0,0,0.12409835602211838
0,0,0.00650726626741283
0,0,0.1008979829764726
0,0,0.013658047010219346
1,1,0.9921046137809754
0,0,0.0068044015560016135
0,0,0.16330336376719606
0,0,0.005156449518137803
1,1,0.9949662625789643
0,0,0.020126623027505692
0,0,0.004800917794030694
1,1,0.9662476420402527
0,0,0.0038432720728549395
0,0,0.02256861516740173
0,0,0.010413208036221361
0,0,0.005111092342507397
1,1,0.9056512951850891
0,0,0.18508053175268635
0,0,0.05963283647944537
0,1,0.31519721181408233
0,0,0.06530737271733682
0,0,0.017157494294105034
0,0,0.0034335217480049762
0,0,0.004303807560937404
0,0,0.02854463490453358
0,0,0.0032828259219991733
0,0,0.01938516847103608
0,0,0.017558221029924846
1,1,0.9931490957736969
1,1,0.9852129459381104
0,0,0.004749289790042694
1,1,0.985953027009964
0,0,0.14118103803425064
1,0,0.00719377035638593
0,0,0.07344714507780327
0,0,0.06693627344977834
0,0,0.17892278826111072
0,0,0.020816836110104757
0,0,0.03470588846420043
0,0,0.027212294400288675
1,1,0.9847343057394028
